Cell,Drug,IC50,IC50_Predict_model=2,IC50_Predict_model=-1
910916,PAC-1,3.059202576,2.352597569,2.252435814
907170,XMD8-85,1.84399429,2.51372147,2.071775115
909746,SB-505124,5.833132187,5.774969224,5.366038019
1240209,KU-55933,5.125709447,4.392488932,4.073142868
906835,UNC1215,2.391229506,2.696123874,2.485449861
909757,UNC0638,4.404227543,4.88076949,4.621408541
908458,GSK1904529A,3.167980252,2.774093962,2.742573773
753592,Dasatinib,-3.249227132,-3.114148611,-1.583635028
949153,Axitinib,1.758504447,0.739383009,0.807618656
753575,OSI-930,5.7397868,5.209720296,4.959139724
907043,S-Trityl-L-cysteine,-0.674652844,-0.207878743,1.304071019
753549,Parthenolide,3.057460993,3.118031713,1.907676768
753576,QL-XI-92,4.659389043,4.732008615,4.958201382
910916,PD173074,2.969557744,2.4695344,2.312780668
1240162,HG6-64-1,1.121473332,1.658263965,1.437208621
949165,Dasatinib,-0.572858693,-1.166547492,-1.394905569
753585,SL0101,3.531278309,4.445721669,4.597658414
907066,Alectinib,4.808245226,4.803691564,4.684099618
946357,Camptothecin,-6.494548986,-5.800307066,-5.673378918
753605,Nutlin-3a (-),3.824926573,3.939156459,4.327587101
907172,AS601245,1.652967982,1.570776952,1.550231436
909732,CGP-60474,-2.424870878,-2.870200422,-2.93104681
724828,PFI-1,1.894335607,1.922159907,2.304542172
910936,AS601245,2.83467598,4.035317119,3.309243479
906875,Y-39983,3.855572532,3.715606526,3.549955493
688010,AS601245,2.431493471,2.36839586,3.052621654
905947,JQ1,-2.245926952,-1.864872121,-1.611114818
1240174,PF-4708671,3.041978349,3.211211294,3.598743387
688121,MK-2206,-0.347843275,0.976644896,1.622266264
1240198,AR-42,0.065473697,-0.602010918,-0.441785075
1299050,Vorinostat,0.252049022,0.16157872,0.682393342
749715,AS605240,4.805242285,4.206146719,2.155993775
722066,Tamoxifen,4.428436523,4.282149236,4.120933712
909726,Talazoparib,2.462505432,2.585844851,2.155207361
907787,Palbociclib,3.263977316,3.663600757,1.91375327
907065,AICA Ribonucleotide,8.577173638,8.108068666,7.69155826
1240131,KIN001-244,3.212772577,3.879469059,4.076693338
688121,KU-55933,3.93543355,3.446501803,3.033581415
909250,AZD7762,-0.559500214,-1.006555989,-0.96320225
908452,Tozasertib,2.784152891,1.981400858,1.886933758
687804,XMD14-99,4.663170659,4.48130424,4.164491454
907312,Alectinib,4.205364112,3.872186345,4.191865005
949157,Nutlin-3a (-),5.145111267,4.727506784,4.33344044
906836,Tamoxifen,2.521632038,2.845644512,2.90114499
907313,Avagacestat,4.247693904,4.657643284,4.387661875
905972,Ispinesib Mesylate,-3.057782623,-3.334654828,-3.241386694
907043,CUDC-101,3.449798528,2.695696216,-0.090872642
946368,Avagacestat,5.428919221,5.300006001,4.983544479
905964,CHIR-99021,2.584320413,2.736208277,3.142476752
753594,Axitinib,2.191517392,1.932613824,1.611360002
1240191,WZ3105,-1.359827419,-1.342885185,-0.415550307
1240201,TW 37,-1.191006902,-1.712754339,-1.504180788
909773,MPS-1-IN-1,1.957614745,2.577080932,2.319934053
1331032,XMD11-85h,3.055825036,3.591263425,3.634794392
907062,GSK1904529A,3.001022909,2.072539299,2.60915823
1480361,XMD14-99,5.4995528,5.143389336,5.056081516
909729,TPCA-1,3.84714956,3.623425468,3.360954972
1298226,I-BET-762,4.611854155,4.981067698,5.028159206
908474,Tamoxifen,3.804473418,3.702731342,3.731039306
908443,GW441756,2.529933418,3.016917737,3.026100225
907274,KIN001-266,2.957924267,2.805292608,3.396510277
909262,TPCA-1,2.63128419,2.343629033,2.434139252
717431,Embelin,1.399439369,1.841574989,2.164875723
907323,KIN001-270,4.567169911,4.283405435,4.330554178
1287706,Obatoclax Mesylate,-2.79837709,-3.122497031,-1.95720179
688007,Imatinib,3.38737053,3.384365133,3.361039471
1240207,BX-912,3.851470355,4.027621731,3.563361994
687562,SB216763,2.761835333,3.504818782,3.207220638
684062,Parthenolide,4.835921405,4.301024159,4.386926676
910691,BMS-509744,4.369457301,3.38704383,2.816540923
910569,Parthenolide,1.749865314,2.628052805,3.117624934
909771,CAY10603,-0.850503557,-0.556129306,0.290331906
753612,MPS-1-IN-1,1.59803321,2.18602367,2.327129933
908131,ZM447439,2.919649981,2.10507496,1.635614425
688027,AZD7762,1.853021534,0.808411457,0.850607252
910781,Dacinostat,-3.415350529,-3.00261738,-2.361266513
924100,Cabozantinib,1.900705034,2.873658936,2.430326685
724870,KIN001-244,5.376655777,4.622632561,4.881847601
906844,SGC0946,1.157913921,1.234952421,0.660076398
753594,SGC0946,1.595148177,1.476620709,1.792636027
1323913,Bexarotene,2.857938021,-0.026208958,2.342557063
907317,HG-5-113-01,2.073116797,1.556578509,1.561933691
909755,KIN001-260,6.332596702,5.767149052,5.472671755
724874,WZ3105,3.938992864,3.291498742,3.795857865
1298526,I-BET-762,5.883768271,4.212657389,5.039543605
688086,Y-39983,3.907280831,4.338874718,4.485017569
753556,Nilotinib,3.476266162,2.909154551,2.704843824
910920,SL0101,4.874575204,4.123553946,4.523326491
908144,WZ3105,-0.349101562,0.628126218,0.892270624
906836,A-770041,1.912377813,2.136408217,2.301034074
1240218,PD173074,0.988437547,3.513186239,3.334235312
924108,HG-5-88-01,4.199398762,3.322635979,3.914760056
905977,Cabozantinib,2.630862918,3.07989916,2.735763915
1290724,NPK76-II-72-1,4.892443006,5.102905278,4.778239404
907300,Idelalisib,4.752497388,4.251984976,3.564840497
908443,Dabrafenib,4.951409946,3.705623254,4.10699663
1298365,NSC-87877,5.8832991,5.285243571,4.976632926
1240202,ZSTK474,-0.078192128,0.373113084,0.587366062
907287,Pelitinib,3.770422899,3.733965361,2.163345268
909699,SN-38,-4.964216193,-2.541147369,-2.923161973
924105,LFM-A13,5.06109526,4.621250349,4.839954556
749717,SB590885,4.477382609,4.295143063,3.713302675
911905,Veliparib,5.1945081,4.713098811,4.47297977
687800,Daporinad,-0.336596066,0.755969065,-1.339311748
1330931,Motesanib,2.671123198,2.947304052,2.770166681
946360,AS601245,2.707496237,2.173989801,1.632557199
684052,XMD14-99,4.451459066,4.450205814,3.863468115
908446,A-443654,-0.839998793,-0.720053372,-0.309702494
908463,GSK1070916,4.630633279,4.069309667,3.947164792
908447,Axitinib,0.80417246,1.701347009,2.225324483
722066,CUDC-101,-0.543636828,-0.285713238,-0.270165376
753538,IPA-3,2.774625771,3.397699416,3.246294971
724873,Masitinib,4.861120312,4.871015154,4.174738051
908454,Amuvatinib,3.624497193,3.332442145,2.965910246
906826,Serdemetan,2.535294495,2.808662534,3.021912566
909257,KIN001-270,3.805696701,4.199845826,4.192119487
907059,HG6-64-1,3.046101404,2.267719123,1.881488426
907271,Parthenolide,3.624834947,3.081700924,2.315925588
753569,CCT-018159,3.905605571,2.882504161,2.240691922
949179,Cetuximab,6.182002621,5.778791617,5.371075098
908131,AZD8055,-1.201315155,-0.331306469,-0.079146068
907313,NVP-BHG712,2.696737236,3.138908105,2.581345722
908148,Navitoclax,0.461024808,-2.702751433,-0.843470044
908131,Dactolisib,-4.225518044,-2.806740248,-2.607785931
687568,Gefitinib,1.966985884,1.351286699,1.120515707
1330982,Daporinad,-6.591404559,-4.513185851,-6.107084935
949166,Parthenolide,4.466777132,3.774570518,3.716600628
906865,CCT007093,3.420311987,3.591904298,3.31981604
1331025,Nilotinib,3.94658189,3.387542232,2.754602975
753556,AZD7762,-1.687304512,-1.138712385,-1.348742454
724868,Refametinib,0.36306263,0.15294978,1.101227864
907788,Rucaparib,3.360421443,3.250385602,2.135868793
1240123,Olaparib,4.116720261,3.54255217,3.602372953
753584,Vismodegib,4.899394598,4.523125312,4.33839916
910948,OSI-027,2.178871882,0.868424821,1.565944367
1240207,Enzastaurin,3.90660041,5.000855908,4.0098006
753582,PFI-1,3.370098403,3.546096254,3.402559881
687505,Tanespimycin,1.744005588,-0.436305722,-1.848295522
910688,RO-3306,3.607646337,3.648554368,3.549112459
908476,Lenalidomide,3.274297851,4.508502651,4.53786588
1330935,Embelin,3.768089326,4.466812504,3.879016837
910904,KIN001-260,5.29709321,5.506514708,5.349231378
1240212,SB590885,4.043952077,3.869059848,3.688831597
909250,XMD14-99,5.29861863,4.937798582,4.98548724
907053,Seliciclib,3.063488981,3.010468477,3.645654351
1331032,Imatinib,3.414659827,3.000558897,2.859381644
1240223,NSC-207895,1.700548313,3.847693406,4.082983424
724863,LFM-A13,5.73342597,5.179373527,5.173622128
1240124,RO-3306,5.287004804,5.00726783,5.058648447
908459,SB52334,3.264445259,5.09071027,5.063092307
909749,ZM447439,1.382518507,1.868423364,1.480439908
910568,Belinostat,0.546970926,0.48502217,0.119116897
1240191,AZD7762,-1.480651246,-0.587860867,-0.457591104
1240161,Dacinostat,-4.679592102,-3.807128989,-3.49757294
908139,PAC-1,0.775575134,1.783827279,1.973124165
946372,Pelitinib,1.293002636,1.216314048,1.77900845
946370,GW441756,2.297553734,3.465399816,3.284471002
907790,AZD8055,-1.436256242,-0.64764554,-0.164972805
1298349,Cetuximab,6.347981091,6.668076109,6.344420303
909711,Sorafenib,2.834334542,3.354393946,2.956449449
1331032,FTI-277,2.081031295,1.894210454,2.237262307
907282,Etoposide,2.392815108,2.73545269,2.806951165
1298215,CCT007093,4.303445426,3.888029588,2.774894255
683665,AZD8055,-1.932574118,-1.594524341,-0.981670518
907300,Cetuximab,6.285102345,5.876350947,5.921753194
909735,WHI-P97,2.348179992,1.784247445,2.319357169
907066,KIN001-260,6.174950317,6.225986301,6.225821968
907282,YM201636,2.003286459,2.576118763,2.90108137
1503366,VX-11e,2.045079528,1.675965715,1.325335399
1240128,A-770041,3.880741962,2.687628931,2.75316795
905970,ZG-10,1.625133365,4.155711323,4.260296673
949156,NSC-207895,3.837298196,4.004101032,4.345583127
1524418,Dactolisib,-4.29073282,-2.868416221,-3.017080683
924108,AZD7762,1.320094807,0.303891318,0.537320372
908135,BAY-61-3606,3.382682504,2.540531771,1.746612926
687983,Etoposide,5.718881668,4.266984694,3.054840636
908148,Lestauritinib,-4.431650555,-3.91812577,-2.538209707
905985,Midostaurin,-1.283881276,-0.84965647,-0.543580945
908152,Sunitinib,2.582314769,3.965885945,2.478463634
907072,NSC-207895,5.8178829,4.723072012,4.999514717
687455,PFI-1,3.297698678,3.295906494,3.125594209
749710,GSK1904529A,2.571313813,2.527428143,2.6895346
910943,PFI-1,2.768559708,3.714458899,3.261415544
1330985,Bexarotene,3.629807914,3.068638072,3.106071044
1240191,Temsirolimus,-2.087573739,-2.910575416,-2.944250598
905977,NVP-BHG712,1.909489095,1.377829989,1.648109728
910861,Vismodegib,4.499491373,4.008512959,4.475042403
906872,BX-912,0.618940168,0.079684422,0.932652004
1240127,XAV939,4.853067027,4.268691642,4.642355186
1298357,Veliparib,3.693736768,3.969620399,4.260322711
905934,GSK429286A,4.813934232,5.062506949,4.837650214
1331032,PI-103,-1.403963273,-1.646214708,-1.004290458
907056,TGX221,2.613147413,2.777837505,3.426545575
1240168,Luminespib,-3.679082384,-3.585866325,-3.264396464
910934,AR-42,2.148696323,0.625351476,0.984403904
909718,Linifanib,2.466365653,1.977470261,2.100271484
1240193,PFI-1,1.59451934,2.262207714,2.767726009
907172,HG6-64-1,0.501379045,-0.736342082,0.265624769
749715,Bosutinib,2.590433147,2.442068734,1.607954581
909701,Bosutinib,0.876063098,1.530334776,2.171584378
753552,CI-1040,3.207211303,3.153261546,2.668004071
687457,Midostaurin,-0.856879739,0.575628925,-0.518174105
910947,BMS-754807,-0.104447897,-0.53672589,0.756060688
909756,NSC-207895,4.608555219,3.532485381,4.288991273
909701,Erlotinib,2.249773207,2.659157126,2.461061318
909754,Dasatinib,-1.093283608,0.565352974,1.474370407
909754,MK-2206,4.312527938,3.805882896,1.930991131
949088,GSK319347A,3.947991859,4.361008292,4.297619107
753615,Gefitinib,2.127017427,1.118918806,1.006586361
1290724,T0901317,4.507342005,4.88856387,4.734382473
1240206,Etoposide,-0.197084002,0.787908682,1.526934023
909771,FMK,4.648526873,4.214582955,3.629222064
908123,SB590885,3.346959182,3.794775824,3.825061921
724859,SB216763,3.256562694,4.65361701,4.552388567
924248,SB52334,2.186420377,3.980231034,3.953221028
907282,PHA-665752,3.604758847,2.987851976,2.844828989
909700,WHI-P97,4.089174271,4.14742247,4.037672063
909905,Tivozanib,-0.400437104,-0.250694163,-0.125313359
907000,CP466722,2.401012091,2.423042988,3.238722649
906791,BMS-345541,3.27485668,2.994565789,3.139918174
910780,Avagacestat,4.508118225,4.130815535,4.203114302
1327771,Camptothecin,-5.337561204,-5.225712668,-4.598328237
908481,Avagacestat,4.987796495,4.900895454,4.956056951
1240173,BAY-61-3606,3.177426311,2.924580944,2.506019941
924240,Tubastatin A,6.438162644,6.176881778,5.791071371
1240226,(5Z)-7-Oxozeaenol,-0.397256075,-0.314413978,-0.808973936
1240173,Elesclomol,-3.865962915,-3.613288514,-4.442871788
1297439,HG-5-88-01,3.744116159,3.814106408,4.278815911
908444,(5Z)-7-Oxozeaenol,1.381484979,2.786360451,1.521192081
1299070,Olaparib,3.051633201,2.636397909,2.769057128
687780,HG-5-88-01,2.702035675,3.028778676,2.89029019
905961,AKT inhibitor VIII,0.618586448,1.154420684,1.486608402
753535,PLX-4720,3.86786555,3.217430144,2.926628348
1240140,Luminespib,-4.302951225,-4.48862487,-3.691560737
688025,Bexarotene,4.654993327,4.019574834,4.336469663
909740,Fedratinib,2.650281933,2.885290448,3.110783143
906830,BMS-345541,3.040524164,4.706580035,4.127781398
1240205,Dacinostat,-1.26118789,-2.204596912,-2.85363328
1298351,CUDC-101,-0.607383909,-1.429310054,-0.329738554
905961,GSK429286A,5.493393394,4.930917734,5.079015874
907272,Olaparib,2.987795233,2.821483922,2.887186046
1298216,Daporinad,-4.521484836,-1.846878306,-3.288521927
1247873,IOX2,0.63580392,0.046686344,0.066182858
909252,JNK Inhibitor VIII,4.208034212,4.208960763,3.870582566
908440,Y-39983,2.992592569,3.974982213,3.201057548
1240159,Bosutinib,2.034458085,2.005992176,1.961711272
1298146,Lenalidomide,4.891954184,4.122748249,4.082158812
687787,CI-1040,4.719765952,3.417740881,3.26380414
910903,PFI-1,2.41092118,2.509569429,2.495483489
905963,Linsitinib,1.742401564,1.354191383,1.958305606
1327774,Nutlin-3a (-),3.342524164,2.330698826,2.372718129
905958,NVP-TAE684,-0.107426274,0.386314354,0.578911894
949173,Amuvatinib,3.873684745,3.339560772,2.786382313
753562,Enzastaurin,4.839986735,4.451927746,3.876832121
907051,PD173074,2.569798218,2.364777348,2.623851882
687777,SL0101,4.060414822,4.917045009,4.435071486
909747,Zibotentan,6.213305664,5.945213957,5.797228566
905970,SNX-2112,2.2652841,3.741688506,3.054166233
909703,FH535,2.653419975,2.106424748,1.849076322
908147,EHT-1864,1.31434869,2.554429305,2.828267743
1524417,Vismodegib,5.306394342,4.54522769,4.308933499
687812,(5Z)-7-Oxozeaenol,1.316318717,1.206728466,1.424172421
688026,Lestauritinib,-0.4840693,-0.318739195,-0.049870777
909785,Tozasertib,2.840194267,2.740297434,1.716582418
909248,Cabozantinib,3.508308579,2.85808172,2.417555898
924107,Ispinesib Mesylate,-1.297033418,-0.813969993,-1.13550716
905990,PHA-665752,4.14918395,3.359390741,3.08436955
907051,Selumetinib,3.459993787,2.989770419,2.925898308
1330935,Bexarotene,3.500484968,3.330531808,3.646784291
1509074,Zibotentan,5.285653788,5.444841806,5.612764756
909732,A-443654,-2.486420715,-1.716509182,-1.314936592
753621,Luminespib,-4.432427082,-3.602516494,-3.197276018
908138,Enzastaurin,2.365796014,2.823629336,2.176251033
687799,Tanespimycin,-1.736169537,-2.286136139,-1.34096404
909706,Amuvatinib,2.702518356,4.38950073,3.747505736
924105,Cetuximab,4.240940051,3.6832153,4.869360773
906848,Refametinib,0.675561867,1.5933302,2.213940084
687787,SB52334,3.423157718,2.75645092,3.265882003
1298539,FH535,1.791697685,1.836743264,2.08788021
905938,Tamoxifen,3.150159121,3.042444572,3.166556772
1290810,UNC0638,3.031989427,4.246187889,4.970131591
908130,DMOG,5.770599792,5.36833843,6.3073806
684052,Trametinib,-0.078737447,-0.150322018,0.516234572
753540,ZSTK474,-0.390596794,-0.649144431,-0.090051593
753561,Selumetinib,3.852456597,3.22033532,3.421808913
908159,NVP-TAE684,0.119311689,1.34448642,1.277324339
907796,Tivozanib,0.480181602,0.393037256,0.363456144
907171,Elesclomol,-3.269193308,-2.916896083,-3.522610339
1290769,QL-XII-47,4.364640314,4.791030333,5.047646263
908156,NSC-87877,4.114200002,4.028090165,4.044864627
907059,SN-38,-6.255897977,-5.752845317,-5.319838391
906763,Sorafenib,0.217038054,0.796086997,1.253050756
906804,BMS-754807,-0.119995636,-0.872625463,-0.736101601
906804,(5Z)-7-Oxozeaenol,0.483698543,-0.045232124,0.249206484
753533,NVP-TAE684,0.684609991,0.362958602,-0.17374483
909253,AS605240,4.197120458,3.452041215,3.182443494
1290906,XMD8-92,5.087666062,4.6686521,4.028250076
909726,DMOG,6.293696035,6.201375209,5.783871438
907298,I-BET-762,3.742067527,4.101956357,3.415692495
724812,PIK-93,3.14257378,2.751401804,2.857860154
687815,NVP-BHG712,4.948617028,4.203402437,3.5317013
907057,QS11,1.868268365,1.411128729,1.803190656
910850,JQ1,-0.110676696,0.619663576,0.083641179
906804,WZ3105,-2.288450184,-1.639334229,-1.759594314
908470,Nilotinib,2.800383507,2.920086482,2.933563236
724834,Bicalutamide,1.927679913,2.390930072,2.542117618
908462,XAV939,2.727295992,4.027237797,3.889058571
1480372,NU7441,2.557350447,2.524635224,1.812288644
906813,SGC0946,1.614951617,1.50604891,1.692113059
930298,GSK429286A,6.489895507,6.362762926,6.214608535
1330984,AZ628,-0.553789714,-0.090008729,0.34711585
1298160,Selumetinib,4.198201271,0.838189572,1.353754023
910779,PHA-665752,3.645318807,3.285081907,3.036239478
910700,XMD14-99,5.239510447,4.735545329,4.842173662
753594,TGX221,4.560325172,4.261994286,4.253831693
1330972,Dactolisib,-3.807256967,-2.033086646,-2.119553519
1330947,WHI-P97,0.771285043,2.338309714,2.384844359
907269,AKT inhibitor VIII,3.764808813,3.49489348,3.161257105
906801,KIN001-270,5.689719371,5.560013227,5.646808151
906869,FR-180204,5.168223468,4.907767213,5.027065129
907268,BMS-536924,1.350406696,2.427895592,2.641292517
949090,IPA-3,6.729268542,5.524497961,5.361305532
1480372,GSK429286A,4.922430651,5.176822563,5.333870816
907783,Avagacestat,4.935461815,4.369874151,3.986537823
687787,QS11,3.649542575,2.421758049,3.02049449
909742,Selisistat,3.979768986,4.11919434,4.496018279
905971,Tubastatin A,5.036749949,4.853454892,4.391169112
909256,Dabrafenib,3.356338918,3.665916153,3.92222356
910900,Bosutinib,3.559874408,3.166862102,2.362028399
1503369,TW 37,1.154470058,-0.495083397,-0.280991191
753618,Vorinostat,0.177229136,-0.411565178,-0.431558251
1290797,Pazopanib,3.162217554,3.936637674,3.520186958
910861,Cabozantinib,0.739533708,2.257921799,2.765125917
907791,Lenalidomide,3.719773305,3.344245604,3.105740905
753581,Dacinostat,-2.513345238,-2.743619547,-2.097119159
753577,KIN001-266,3.239695872,2.684419899,3.133078102
909262,UNC0638,2.386411292,2.202927583,2.648625587
1297439,PIK-93,3.411499677,3.582549616,3.161223943
905973,PFI-1,1.935659505,2.599270021,2.16003798
1240201,Ponatinib,-0.235099753,0.49106502,1.178232098
753574,LFM-A13,4.987697011,4.478356077,4.339824359
1298157,KIN001-260,5.620482252,5.057733195,5.209866452
1240129,SB-505124,3.973072859,4.961155931,4.391150444
717431,ZG-10,3.591683468,1.44429077,1.499983093
930297,JNK Inhibitor VIII,5.285987858,5.173720875,4.849558316
905971,Obatoclax Mesylate,-3.481386968,-1.306416102,-0.908438812
909713,Vismodegib,5.816443454,4.760819402,4.807361907
924110,Dacinostat,-3.741606488,-3.1647675,-3.048572746
910947,BX-912,1.032685167,0.497951763,1.286918273
753559,Omipalisib,-0.459806893,-0.24627155,-1.454372509
1479995,HG-5-88-01,3.920369721,2.643788704,2.505634042
1240210,Amuvatinib,2.770349191,2.341218698,3.289642692
688010,Saracatinib,2.91904448,2.497897387,2.591775812
908472,OSI-027,3.115679962,4.122840118,3.535835164
906877,Parthenolide,3.958255897,2.416983067,2.462863083
908130,Dactolisib,-3.55028879,-3.768408867,-2.909317006
906841,OSI-027,3.065446727,2.688299772,2.405524485
910695,FMK,4.976199864,5.250911058,3.34933132
724866,AR-42,2.94149714,2.793720541,1.921272903
1240123,Tamoxifen,4.068934821,3.547131869,3.79204407
908461,Axitinib,4.277812965,2.969366637,2.797385971
906846,Nutlin-3a (-),4.404767949,3.456407453,3.023731525
749713,CUDC-101,-1.983315212,-2.334694114,-1.860609788
713878,MK-2206,2.116366507,2.381598972,2.812779448
905955,JNK Inhibitor VIII,3.089632371,3.807141306,4.52157803
911905,Luminespib,-2.739301454,-3.069614453,-2.780294231
753584,PHA-793887,2.676833084,3.124653165,4.104594523
722045,BAY-61-3606,1.056167669,1.390300114,1.488145122
713885,GSK269962A,2.773052451,2.012718271,1.642215367
687983,XAV939,4.510461624,3.5247023,3.736007606
909740,JQ1,0.020942364,0.554508368,0.006191725
946361,Bexarotene,2.762927199,2.499338061,2.408230202
907796,NVP-BHG712,2.852046363,3.202581494,3.532886019
905941,Fedratinib,1.762878055,1.595605926,1.973003801
907176,CHIR-99021,3.234354445,2.775230289,3.080429004
905990,Gefitinib,1.005367007,1.044964798,0.812952591
907788,GSK319347A,4.352510646,4.053222749,3.837778667
1298358,Trametinib,-6.973584908,-5.16736652,-5.161281175
1330931,BMS-509744,2.872824991,2.581757413,2.846620928
753584,Zibotentan,5.13992705,5.211449351,5.392325107
1240140,Embelin,1.762060076,2.263255857,2.077170337
909769,NVP-TAE684,0.980393474,0.811444243,1.29244049
909977,Gefitinib,-0.306728784,2.362049524,2.215945729
909717,FR-180204,5.357419764,5.213195601,4.736827566
908465,QL-X-138,-0.034579485,0.430569466,0.405329292
1330931,AS601245,1.607292584,1.842758725,1.630714781
749716,Erlotinib,3.353830941,3.021363562,2.235979578
1240223,GW-2580,5.467207018,5.436805962,5.304406629
910926,AICA Ribonucleotide,7.231148919,7.109487953,6.424898614
1290806,Bexarotene,3.520784599,2.830782843,3.220483194
906808,KIN001-244,3.966898715,4.024955562,3.788102296
1524416,QL-XII-47,-0.327812005,-1.42801271,-0.65342703
905986,BMS-536924,1.184366816,1.133984846,1.350979158
1330942,DMOG,5.600321407,6.883360281,5.989465876
909697,NVP-TAE684,1.481908463,2.016451251,1.57447456
1299050,BMS-754807,1.930870767,1.150004581,2.391272002
905954,FH535,-0.819523529,1.748439009,0.976192551
907062,Bosutinib,-1.633880422,-1.637839268,-0.103122796
1240172,GSK1904529A,0.307982931,2.5100752,2.520799812
1327775,BAY-61-3606,0.888638601,0.765333572,1.143453258
908150,Vismodegib,4.650665163,5.189377187,5.030326482
1480360,Camptothecin,-4.060312417,-3.435269788,-2.966001712
1503369,Masitinib,3.256699023,3.354894313,2.825985262
724863,PHA-665752,3.983742202,3.777354349,3.402201002
905981,VX-11e,2.38140025,3.273209177,3.095241053
924100,PAC-1,2.499540468,2.195304291,1.809817636
909742,MPS-1-IN-1,-0.795687306,0.278954017,2.028259132
753572,SNX-2112,-0.690793802,-0.6898363,0.044206247
