Cell,Drug,IC50,IC50_Predict
949165,Dasatinib,-0.572858693,-1.166547492
753585,SL0101,3.531278309,4.445721669
907066,Alectinib,4.808245226,4.803691564
946357,Camptothecin,-6.494548986,-5.800307066
753605,Nutlin-3a (-),3.824926573,3.939156459
907172,AS601245,1.652967982,1.570776952
909732,CGP-60474,-2.424870878,-2.870200422
724828,PFI-1,1.894335607,1.922159907
910936,AS601245,2.83467598,4.035317119
906875,Y-39983,3.855572532,3.715606526
688010,AS601245,2.431493471,2.36839586
905947,JQ1,-2.245926952,-1.864872121
1240174,PF-4708671,3.041978349,3.211211294
688121,MK-2206,-0.347843275,0.976644896
1240198,AR-42,0.065473697,-0.602010918
1299050,Vorinostat,0.252049022,0.16157872
749715,AS605240,4.805242285,4.206146719
722066,Tamoxifen,4.428436523,4.282149236
909726,Talazoparib,2.462505432,2.585844851
907787,Palbociclib,3.263977316,3.663600757
907065,AICA Ribonucleotide,8.577173638,8.108068666
1240131,KIN001-244,3.212772577,3.879469059
688121,KU-55933,3.93543355,3.446501803
909250,AZD7762,-0.559500214,-1.006555989
908452,Tozasertib,2.784152891,1.981400858
687804,XMD14-99,4.663170659,4.48130424
907312,Alectinib,4.205364112,3.872186345
949157,Nutlin-3a (-),5.145111267,4.727506784
906836,Tamoxifen,2.521632038,2.845644512
907313,Avagacestat,4.247693904,4.657643284
905972,Ispinesib Mesylate,-3.057782623,-3.334654828
907043,CUDC-101,3.449798528,2.695696216
946368,Avagacestat,5.428919221,5.300006001
905964,CHIR-99021,2.584320413,2.736208277
753594,Axitinib,2.191517392,1.932613824
1240191,WZ3105,-1.359827419,-1.342885185
1240201,TW 37,-1.191006902,-1.712754339
909773,MPS-1-IN-1,1.957614745,2.577080932
1331032,XMD11-85h,3.055825036,3.591263425
907062,GSK1904529A,3.001022909,2.072539299
1480361,XMD14-99,5.4995528,5.143389336
909729,TPCA-1,3.84714956,3.623425468
1298226,I-BET-762,4.611854155,4.981067698
908474,Tamoxifen,3.804473418,3.702731342
908443,GW441756,2.529933418,3.016917737
907274,KIN001-266,2.957924267,2.805292608
909262,TPCA-1,2.63128419,2.343629033
717431,Embelin,1.399439369,1.841574989
907323,KIN001-270,4.567169911,4.283405435
1287706,Obatoclax Mesylate,-2.79837709,-3.122497031
688007,Imatinib,3.38737053,3.384365133
1240207,BX-912,3.851470355,4.027621731
687562,SB216763,2.761835333,3.504818782
684062,Parthenolide,4.835921405,4.301024159
910691,BMS-509744,4.369457301,3.38704383
910569,Parthenolide,1.749865314,2.628052805
909771,CAY10603,-0.850503557,-0.556129306
753612,MPS-1-IN-1,1.59803321,2.18602367
908131,ZM447439,2.919649981,2.10507496
688027,AZD7762,1.853021534,0.808411457
910781,Dacinostat,-3.415350529,-3.00261738
924100,Cabozantinib,1.900705034,2.873658936
724870,KIN001-244,5.376655777,4.622632561
906844,SGC0946,1.157913921,1.234952421
753594,SGC0946,1.595148177,1.476620709
1323913,Bexarotene,2.857938021,-0.026208958
907317,HG-5-113-01,2.073116797,1.556578509
909755,KIN001-260,6.332596702,5.767149052
724874,WZ3105,3.938992864,3.291498742
1298526,I-BET-762,5.883768271,4.212657389
688086,Y-39983,3.907280831,4.338874718
753556,Nilotinib,3.476266162,2.909154551
910920,SL0101,4.874575204,4.123553946
908144,WZ3105,-0.349101562,0.628126218
906836,A-770041,1.912377813,2.136408217
1240218,PD173074,0.988437547,3.513186239
924108,HG-5-88-01,4.199398762,3.322635979
905977,Cabozantinib,2.630862918,3.07989916
1290724,NPK76-II-72-1,4.892443006,5.102905278
907300,Idelalisib,4.752497388,4.251984976
908443,Dabrafenib,4.951409946,3.705623254
1298365,NSC-87877,5.8832991,5.285243571
1240202,ZSTK474,-0.078192128,0.373113084
907287,Pelitinib,3.770422899,3.733965361
909699,SN-38,-4.964216193,-2.541147369
924105,LFM-A13,5.06109526,4.621250349
749717,SB590885,4.477382609,4.295143063
911905,Veliparib,5.1945081,4.713098811
687800,Daporinad,-0.336596066,0.755969065
1330931,Motesanib,2.671123198,2.947304052
946360,AS601245,2.707496237,2.173989801
684052,XMD14-99,4.451459066,4.450205814
908446,A-443654,-0.839998793,-0.720053372
908463,GSK1070916,4.630633279,4.069309667
908447,Axitinib,0.80417246,1.701347009
722066,CUDC-101,-0.543636828,-0.285713238
753538,IPA-3,2.774625771,3.397699416
724873,Masitinib,4.861120312,4.871015154
908454,Amuvatinib,3.624497193,3.332442145
906826,Serdemetan,2.535294495,2.808662534
909257,KIN001-270,3.805696701,4.199845826
907059,HG6-64-1,3.046101404,2.267719123
907271,Parthenolide,3.624834947,3.081700924
753569,CCT-018159,3.905605571,2.882504161
949179,Cetuximab,6.182002621,5.778791617
908131,AZD8055,-1.201315155,-0.331306469
907313,NVP-BHG712,2.696737236,3.138908105
908148,Navitoclax,0.461024808,-2.702751433
908131,Dactolisib,-4.225518044,-2.806740248
687568,Gefitinib,1.966985884,1.351286699
1330982,Daporinad,-6.591404559,-4.513185851
949166,Parthenolide,4.466777132,3.774570518
906865,CCT007093,3.420311987,3.591904298
1331025,Nilotinib,3.94658189,3.387542232
753556,AZD7762,-1.687304512,-1.138712385
724868,Refametinib,0.36306263,0.15294978
907788,Rucaparib,3.360421443,3.250385602
1240123,Olaparib,4.116720261,3.54255217
753584,Vismodegib,4.899394598,4.523125312
910948,OSI-027,2.178871882,0.868424821
1240207,Enzastaurin,3.90660041,5.000855908
753582,PFI-1,3.370098403,3.546096254
687505,Tanespimycin,1.744005588,-0.436305722
910688,RO-3306,3.607646337,3.648554368
908476,Lenalidomide,3.274297851,4.508502651
1330935,Embelin,3.768089326,4.466812504
910904,KIN001-260,5.29709321,5.506514708
1240212,SB590885,4.043952077,3.869059848
909250,XMD14-99,5.29861863,4.937798582
907053,Seliciclib,3.063488981,3.010468477
1331032,Imatinib,3.414659827,3.000558897
1240223,NSC-207895,1.700548313,3.847693406
724863,LFM-A13,5.73342597,5.179373527
1240124,RO-3306,5.287004804,5.00726783
908459,SB52334,3.264445259,5.09071027
909749,ZM447439,1.382518507,1.868423364
910568,Belinostat,0.546970926,0.48502217
1240191,AZD7762,-1.480651246,-0.587860867
1240161,Dacinostat,-4.679592102,-3.807128989
908139,PAC-1,0.775575134,1.783827279
946372,Pelitinib,1.293002636,1.216314048
946370,GW441756,2.297553734,3.465399816
907790,AZD8055,-1.436256242,-0.64764554
1298349,Cetuximab,6.347981091,6.668076109
909711,Sorafenib,2.834334542,3.354393946
1331032,FTI-277,2.081031295,1.894210454
907282,Etoposide,2.392815108,2.73545269
1298215,CCT007093,4.303445426,3.888029588
683665,AZD8055,-1.932574118,-1.594524341
907300,Cetuximab,6.285102345,5.876350947
909735,WHI-P97,2.348179992,1.784247445
907066,KIN001-260,6.174950317,6.225986301
907282,YM201636,2.003286459,2.576118763
1503366,VX-11e,2.045079528,1.675965715
1240128,A-770041,3.880741962,2.687628931
905970,ZG-10,1.625133365,4.155711323
949156,NSC-207895,3.837298196,4.004101032
1524418,Dactolisib,-4.29073282,-2.868416221
924108,AZD7762,1.320094807,0.303891318
908135,BAY-61-3606,3.382682504,2.540531771
687983,Etoposide,5.718881668,4.266984694
908148,Lestauritinib,-4.431650555,-3.91812577
905985,Midostaurin,-1.283881276,-0.84965647
908152,Sunitinib,2.582314769,3.965885945
907072,NSC-207895,5.8178829,4.723072012
687455,PFI-1,3.297698678,3.295906494
749710,GSK1904529A,2.571313813,2.527428143
910943,PFI-1,2.768559708,3.714458899
1330985,Bexarotene,3.629807914,3.068638072
1240191,Temsirolimus,-2.087573739,-2.910575416
905977,NVP-BHG712,1.909489095,1.377829989
910861,Vismodegib,4.499491373,4.008512959
906872,BX-912,0.618940168,0.079684422
1240127,XAV939,4.853067027,4.268691642
1298357,Veliparib,3.693736768,3.969620399
905934,GSK429286A,4.813934232,5.062506949
1331032,PI-103,-1.403963273,-1.646214708
907056,TGX221,2.613147413,2.777837505
1240168,Luminespib,-3.679082384,-3.585866325
910934,AR-42,2.148696323,0.625351476
909718,Linifanib,2.466365653,1.977470261
1240193,PFI-1,1.59451934,2.262207714
907172,HG6-64-1,0.501379045,-0.736342082
749715,Bosutinib,2.590433147,2.442068734
909701,Bosutinib,0.876063098,1.530334776
753552,CI-1040,3.207211303,3.153261546
687457,Midostaurin,-0.856879739,0.575628925
910947,BMS-754807,-0.104447897,-0.53672589
909756,NSC-207895,4.608555219,3.532485381
909701,Erlotinib,2.249773207,2.659157126
909754,Dasatinib,-1.093283608,0.565352974
909754,MK-2206,4.312527938,3.805882896
949088,GSK319347A,3.947991859,4.361008292
753615,Gefitinib,2.127017427,1.118918806
1290724,T0901317,4.507342005,4.88856387
1240206,Etoposide,-0.197084002,0.787908682
909771,FMK,4.648526873,4.214582955
908123,SB590885,3.346959182,3.794775824
724859,SB216763,3.256562694,4.65361701
924248,SB52334,2.186420377,3.980231034
907282,PHA-665752,3.604758847,2.987851976
909700,WHI-P97,4.089174271,4.14742247
909905,Tivozanib,-0.400437104,-0.250694163
907000,CP466722,2.401012091,2.423042988
906791,BMS-345541,3.27485668,2.994565789
910780,Avagacestat,4.508118225,4.130815535
1327771,Camptothecin,-5.337561204,-5.225712668
908481,Avagacestat,4.987796495,4.900895454
1240173,BAY-61-3606,3.177426311,2.924580944
924240,Tubastatin A,6.438162644,6.176881778
1240226,(5Z)-7-Oxozeaenol,-0.397256075,-0.314413978
1240173,Elesclomol,-3.865962915,-3.613288514
1297439,HG-5-88-01,3.744116159,3.814106408
908444,(5Z)-7-Oxozeaenol,1.381484979,2.786360451
1299070,Olaparib,3.051633201,2.636397909
687780,HG-5-88-01,2.702035675,3.028778676
905961,AKT inhibitor VIII,0.618586448,1.154420684
753535,PLX-4720,3.86786555,3.217430144
1240140,Luminespib,-4.302951225,-4.48862487
688025,Bexarotene,4.654993327,4.019574834
909740,Fedratinib,2.650281933,2.885290448
906830,BMS-345541,3.040524164,4.706580035
1240205,Dacinostat,-1.26118789,-2.204596912
1298351,CUDC-101,-0.607383909,-1.429310054
905961,GSK429286A,5.493393394,4.930917734
907272,Olaparib,2.987795233,2.821483922
1298216,Daporinad,-4.521484836,-1.846878306
1247873,IOX2,0.63580392,0.046686344
909252,JNK Inhibitor VIII,4.208034212,4.208960763
908440,Y-39983,2.992592569,3.974982213
1240159,Bosutinib,2.034458085,2.005992176
1298146,Lenalidomide,4.891954184,4.122748249
687787,CI-1040,4.719765952,3.417740881
910903,PFI-1,2.41092118,2.509569429
905963,Linsitinib,1.742401564,1.354191383
1327774,Nutlin-3a (-),3.342524164,2.330698826
905958,NVP-TAE684,-0.107426274,0.386314354
949173,Amuvatinib,3.873684745,3.339560772
753562,Enzastaurin,4.839986735,4.451927746
907051,PD173074,2.569798218,2.364777348
687777,SL0101,4.060414822,4.917045009
909747,Zibotentan,6.213305664,5.945213957
905970,SNX-2112,2.2652841,3.741688506
909703,FH535,2.653419975,2.106424748
908147,EHT-1864,1.31434869,2.554429305
1524417,Vismodegib,5.306394342,4.54522769
687812,(5Z)-7-Oxozeaenol,1.316318717,1.206728466
688026,Lestauritinib,-0.4840693,-0.318739195
909785,Tozasertib,2.840194267,2.740297434
909248,Cabozantinib,3.508308579,2.85808172
924107,Ispinesib Mesylate,-1.297033418,-0.813969993
905990,PHA-665752,4.14918395,3.359390741
907051,Selumetinib,3.459993787,2.989770419
1330935,Bexarotene,3.500484968,3.330531808
1509074,Zibotentan,5.285653788,5.444841806
909732,A-443654,-2.486420715,-1.716509182
753621,Luminespib,-4.432427082,-3.602516494
908138,Enzastaurin,2.365796014,2.823629336
687799,Tanespimycin,-1.736169537,-2.286136139
909706,Amuvatinib,2.702518356,4.38950073
924105,Cetuximab,4.240940051,3.6832153
906848,Refametinib,0.675561867,1.5933302
687787,SB52334,3.423157718,2.75645092
1298539,FH535,1.791697685,1.836743264
905938,Tamoxifen,3.150159121,3.042444572
1290810,UNC0638,3.031989427,4.246187889
908130,DMOG,5.770599792,5.36833843
684052,Trametinib,-0.078737447,-0.150322018
753540,ZSTK474,-0.390596794,-0.649144431
753561,Selumetinib,3.852456597,3.22033532
908159,NVP-TAE684,0.119311689,1.34448642
907796,Tivozanib,0.480181602,0.393037256
907171,Elesclomol,-3.269193308,-2.916896083
1290769,QL-XII-47,4.364640314,4.791030333
908156,NSC-87877,4.114200002,4.028090165
907059,SN-38,-6.255897977,-5.752845317
906763,Sorafenib,0.217038054,0.796086997
906804,BMS-754807,-0.119995636,-0.872625463
906804,(5Z)-7-Oxozeaenol,0.483698543,-0.045232124
753533,NVP-TAE684,0.684609991,0.362958602
909253,AS605240,4.197120458,3.452041215
1290906,XMD8-92,5.087666062,4.6686521
909726,DMOG,6.293696035,6.201375209
907298,I-BET-762,3.742067527,4.101956357
724812,PIK-93,3.14257378,2.751401804
687815,NVP-BHG712,4.948617028,4.203402437
907057,QS11,1.868268365,1.411128729
910850,JQ1,-0.110676696,0.619663576
906804,WZ3105,-2.288450184,-1.639334229
908470,Nilotinib,2.800383507,2.920086482
724834,Bicalutamide,1.927679913,2.390930072
908462,XAV939,2.727295992,4.027237797
1480372,NU7441,2.557350447,2.524635224
906813,SGC0946,1.614951617,1.50604891
930298,GSK429286A,6.489895507,6.362762926
1330984,AZ628,-0.553789714,-0.090008729
1298160,Selumetinib,4.198201271,0.838189572
910779,PHA-665752,3.645318807,3.285081907
910700,XMD14-99,5.239510447,4.735545329
753594,TGX221,4.560325172,4.261994286
1330972,Dactolisib,-3.807256967,-2.033086646
1330947,WHI-P97,0.771285043,2.338309714
907269,AKT inhibitor VIII,3.764808813,3.49489348
906801,KIN001-270,5.689719371,5.560013227
906869,FR-180204,5.168223468,4.907767213
907268,BMS-536924,1.350406696,2.427895592
949090,IPA-3,6.729268542,5.524497961
1480372,GSK429286A,4.922430651,5.176822563
907783,Avagacestat,4.935461815,4.369874151
687787,QS11,3.649542575,2.421758049
909742,Selisistat,3.979768986,4.11919434
905971,Tubastatin A,5.036749949,4.853454892
909256,Dabrafenib,3.356338918,3.665916153
910900,Bosutinib,3.559874408,3.166862102
1503369,TW 37,1.154470058,-0.495083397
753618,Vorinostat,0.177229136,-0.411565178
1290797,Pazopanib,3.162217554,3.936637674
910861,Cabozantinib,0.739533708,2.257921799
907791,Lenalidomide,3.719773305,3.344245604
753581,Dacinostat,-2.513345238,-2.743619547
753577,KIN001-266,3.239695872,2.684419899
909262,UNC0638,2.386411292,2.202927583
1297439,PIK-93,3.411499677,3.582549616
905973,PFI-1,1.935659505,2.599270021
1240201,Ponatinib,-0.235099753,0.49106502
753574,LFM-A13,4.987697011,4.478356077
1298157,KIN001-260,5.620482252,5.057733195
1240129,SB-505124,3.973072859,4.961155931
717431,ZG-10,3.591683468,1.44429077
930297,JNK Inhibitor VIII,5.285987858,5.173720875
905971,Obatoclax Mesylate,-3.481386968,-1.306416102
909713,Vismodegib,5.816443454,4.760819402
924110,Dacinostat,-3.741606488,-3.1647675
910947,BX-912,1.032685167,0.497951763
753559,Omipalisib,-0.459806893,-0.24627155
1479995,HG-5-88-01,3.920369721,2.643788704
1240210,Amuvatinib,2.770349191,2.341218698
688010,Saracatinib,2.91904448,2.497897387
908472,OSI-027,3.115679962,4.122840118
906877,Parthenolide,3.958255897,2.416983067
908130,Dactolisib,-3.55028879,-3.768408867
906841,OSI-027,3.065446727,2.688299772
910695,FMK,4.976199864,5.250911058
724866,AR-42,2.94149714,2.793720541
1240123,Tamoxifen,4.068934821,3.547131869
908461,Axitinib,4.277812965,2.969366637
906846,Nutlin-3a (-),4.404767949,3.456407453
749713,CUDC-101,-1.983315212,-2.334694114
713878,MK-2206,2.116366507,2.381598972
905955,JNK Inhibitor VIII,3.089632371,3.807141306
911905,Luminespib,-2.739301454,-3.069614453
753584,PHA-793887,2.676833084,3.124653165
722045,BAY-61-3606,1.056167669,1.390300114
713885,GSK269962A,2.773052451,2.012718271
687983,XAV939,4.510461624,3.5247023
909740,JQ1,0.020942364,0.554508368
946361,Bexarotene,2.762927199,2.499338061
907796,NVP-BHG712,2.852046363,3.202581494
905941,Fedratinib,1.762878055,1.595605926
907176,CHIR-99021,3.234354445,2.775230289
905990,Gefitinib,1.005367007,1.044964798
907788,GSK319347A,4.352510646,4.053222749
1298358,Trametinib,-6.973584908,-5.16736652
1330931,BMS-509744,2.872824991,2.581757413
753584,Zibotentan,5.13992705,5.211449351
1240140,Embelin,1.762060076,2.263255857
909769,NVP-TAE684,0.980393474,0.811444243
909977,Gefitinib,-0.306728784,2.362049524
909717,FR-180204,5.357419764,5.213195601
908465,QL-X-138,-0.034579485,0.430569466
1330931,AS601245,1.607292584,1.842758725
749716,Erlotinib,3.353830941,3.021363562
1240223,GW-2580,5.467207018,5.436805962
910926,AICA Ribonucleotide,7.231148919,7.109487953
1290806,Bexarotene,3.520784599,2.830782843
906808,KIN001-244,3.966898715,4.024955562
1524416,QL-XII-47,-0.327812005,-1.42801271
905986,BMS-536924,1.184366816,1.133984846
1330942,DMOG,5.600321407,6.883360281
909697,NVP-TAE684,1.481908463,2.016451251
1299050,BMS-754807,1.930870767,1.150004581
905954,FH535,-0.819523529,1.748439009
907062,Bosutinib,-1.633880422,-1.637839268
1240172,GSK1904529A,0.307982931,2.5100752
1327775,BAY-61-3606,0.888638601,0.765333572
908150,Vismodegib,4.650665163,5.189377187
1480360,Camptothecin,-4.060312417,-3.435269788
1503369,Masitinib,3.256699023,3.354894313
724863,PHA-665752,3.983742202,3.777354349
905981,VX-11e,2.38140025,3.273209177
924100,PAC-1,2.499540468,2.195304291
909742,MPS-1-IN-1,-0.795687306,0.278954017
753572,SNX-2112,-0.690793802,-0.6898363
907795,WZ3105,2.040337462,0.986572162
908156,Entinostat,-0.647619625,-1.658123669
1240122,Ponatinib,1.839906853,1.503403621
1298141,Ruxolitinib,4.868318771,4.918847019
924108,Olaparib,4.543786279,4.20874239
687799,KIN001-260,5.532883595,4.800600685
1299070,FTI-277,1.005725641,0.863948782
909696,Vorinostat,-0.087815661,-0.128264346
905944,FR-180204,4.69461863,5.015515415
724825,Nutlin-3a (-),1.17562697,2.014922638
909779,NVP-BHG712,2.845609385,2.701231452
917486,XMD13-2,2.682425062,3.405809443
909781,Zibotentan,5.916697446,5.491313812
753621,Ispinesib Mesylate,-0.640153419,-0.720279114
724828,T0901317,4.342441892,4.403207403
1240196,Pazopanib,2.74906209,3.105786594
1298347,Nilotinib,2.554833873,2.67078569
1298353,Dacinostat,-2.584493431,-1.346871665
905933,ZG-10,0.54423389,1.265769958
907268,GSK319347A,3.670612285,3.543231117
906868,Serdemetan,2.337768571,1.679089019
906999,Linifanib,2.215990435,1.998683915
909750,WHI-P97,4.69768298,4.316032966
908482,Ispinesib Mesylate,-0.486864675,-0.56221416
909708,Elesclomol,-3.649125444,-3.050578882
907280,Etoposide,1.384708381,1.833203356
1240202,Quizartinib,3.337301873,2.790221409
905945,MK-2206,-1.189871434,-0.377413824
905942,Selisistat,5.484258069,5.156540618
1295740,NSC-207895,2.460219758,2.724988211
910781,Serdemetan,3.179204739,2.778698962
1240162,Bosutinib,-0.983897361,-0.527653939
908481,BIX02189,4.755791411,4.385090768
1297438,Tubastatin A,2.357899939,2.259052231
749712,DMOG,8.209998164,7.355281753
906854,Ponatinib,-0.956549724,-0.516010882
688086,PFI-1,1.931806653,2.624023584
910905,GSK1070916,2.982902099,3.549594403
907794,GSK1904529A,1.871734336,2.1542377
905975,Tivozanib,0.227969002,0.752024712
906870,QL-XI-92,0.296038721,0.675795593
908469,Selumetinib,4.224821201,4.055206287
908138,NSC-87877,5.502434149,4.665226169
909703,Pictilisib,-2.237966396,-2.63013665
907311,WH-4-023,1.284320515,-0.120967631
906854,BMS-536924,2.445017142,2.858810287
1331039,VX-11e,3.119814071,2.371089541
1480361,Selumetinib,4.069244327,4.456423682
906693,PHA-793887,1.684047493,2.265398814
905959,OSI-027,-0.016981272,-0.717946769
909779,Lestauritinib,-0.201503052,-0.201824226
1240173,YM201636,2.382038912,2.056336931
907171,Daporinad,-2.944433599,-2.736525362
1322218,CUDC-101,-1.809168622,-1.441544488
1330982,Cyclopamine,3.352084445,2.626367474
949094,Nilotinib,3.474145066,2.854707865
713878,BMS-509744,3.865033329,3.553039003
906792,Lestauritinib,-0.171773329,-1.4579753
1298362,Doramapimod,4.794784192,4.131751912
909706,Avagacestat,4.932913308,4.989666547
1298531,XMD14-99,4.440614091,4.005375654
949153,Crizotinib,2.754485805,2.408462577
905936,Lenalidomide,3.568417742,3.384724749
1240202,(5Z)-7-Oxozeaenol,1.543022291,2.041078555
905979,I-BET-762,5.272821592,5.537160667
906832,Dactolisib,-3.534860186,-3.639966353
1480362,KIN001-244,3.397137148,3.060857693
1479987,IOX2,-0.856491629,-0.32192747
909754,CMK,2.855685509,4.224536751
1240140,AS601245,1.017836886,1.395314963
753624,BX-912,4.072214106,3.680890816
688013,TW 37,-0.767495899,-0.736577527
905976,Veliparib,3.938138039,3.765025713
1240166,Zibotentan,5.104482528,5.059843728
1331050,Cetuximab,5.910951943,6.122457691
688007,XMD13-2,3.293391393,2.857837309
910903,Axitinib,2.329569131,1.560860862
753581,NSC-87877,5.493330756,5.038001482
753549,Rucaparib,4.851870764,4.812891984
1327766,BMS-536924,1.189500677,1.368785673
1247873,FMK,5.869492943,5.184731411
930298,BIX02189,6.301566318,6.616131996
946356,AS605240,3.387363161,2.858448214
906812,Luminespib,-2.848727004,-2.65815218
910784,Bicalutamide,2.659902396,2.704864703
907042,Gefitinib,1.641028684,1.099379183
998184,Vismodegib,3.955051532,3.757031873
1503369,NG-25,2.360247023,1.75021363
907295,GW441756,1.118245631,2.959138708
908463,Daporinad,1.264846846,0.857597901
909253,Luminespib,-1.395103063,-1.061914979
908471,ZSTK474,2.129159402,1.414078366
905944,CP724714,5.160360554,4.284275735
1330931,Obatoclax Mesylate,-1.937236965,-1.112369413
907799,Tamoxifen,2.351110469,2.665868237
910927,KIN001-266,4.387924463,4.192664807
909262,AKT inhibitor VIII,2.57803696,2.876955661
1290722,AKT inhibitor VIII,1.793228018,1.997584925
910852,T0901317,4.727496221,4.820258952
907047,Dabrafenib,3.454859925,3.689541249
924238,AR-42,-0.558292897,-0.301051938
906794,TAK-715,3.377719362,4.29280384
687798,ZG-10,1.443546975,2.478400505
1298352,Seliciclib,4.710682211,3.925438979
1290730,Fedratinib,3.345932409,2.692709243
1330935,Linsitinib,3.02544314,2.907876244
909756,Obatoclax Mesylate,-1.633641538,-2.610794644
949161,Linsitinib,0.383714753,0.521164553
930083,CP466722,5.451645768,5.363496389
1331032,BMS-345541,0.459405431,1.762317752
1240153,Selumetinib,-3.156545585,-1.216035949
909702,Etoposide,-1.417158401,-0.846508602
684055,AS601245,2.079561144,2.144622395
908467,GNF-2,2.232047876,2.199334617
906830,TPCA-1,5.838290612,5.060830215
909771,NVP-TAE684,2.697588376,2.09587798
909726,CHIR-99021,3.632819452,2.725352739
906833,PIK-93,2.734716755,2.223385652
910930,BI-2536,-2.273541107,-2.496249112
908460,Idelalisib,6.476831182,6.346294531
909737,GSK1904529A,1.689264872,2.050823066
1298136,GW-2580,3.59833538,5.646463765
1290814,Embelin,4.979036998,4.266920582
910698,Bryostatin 1,-3.144826134,-3.21271715
687452,YM201636,1.823339711,1.794646585
907056,JNK-9L,-0.977398973,-0.732122735
906827,PF-562271,1.843557053,2.405894418
949178,PAC-1,1.202299099,1.488827262
910566,Lapatinib,2.711361371,2.351251712
906813,YM201636,2.499965424,2.459862722
909757,Omipalisib,-3.124769072,-0.986789641
753616,PHA-665752,2.526202157,3.318225034
1297439,Cabozantinib,3.842152029,3.702321862
